CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit,solver_group,source_type,source_file,OriginalImplementation,case_id_std,N_std,Re_std,runtime_std,validation_error_std,residual_std,iterations_std,scheme_std,pressure_std,implementation_std,quality_std
1,openmp_c,32,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,6.03303253703e-06,5.8444802124e-06,6.52624118716e-07,0.000627171778086,38.4463522751,352.88125,9.17261227739e-05,0.0,1,1,0.0142980957641,0.0105681418602,0.0317108009088,0.0269732983926,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_001.csv,,1,32,100,38.4463522751,,9.17261227739e-05,4000,upwind,RBGS,openmp_c,validated_but_not_converged
2,openmp_c,32,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,6.0327791252e-06,5.84336597637e-06,6.52574012921e-07,0.000627123626417,9.15705555864,82.85625,5.75090163629e-05,0.0,1,1,0.0142981006225,0.010568138327,0.0317108044249,0.0269733067978,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_002.csv,,2,32,100,9.15705555864,,5.75090163629e-05,4000,upwind,RBSOR,openmp_c,validated_but_not_converged
3,openmp_c,32,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.13407292155e-06,3.08299196716e-06,9.46488708719e-07,0.000909575649079,44.4318962358,314.390909091,9.16411087027e-05,0.0,1,1,0.00728213635357,0.0052874229273,0.0158129349737,0.00795221059865,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_003.csv,,3,32,100,44.4318962358,,9.16411087027e-05,5500,central,RBGS,openmp_c,validated_but_not_converged
4,openmp_c,32,100,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,3.13408268324e-06,3.08299097196e-06,9.46538158181e-07,0.000909623170012,10.6373524796,75.2863636364,5.92300574361e-05,0.0,1,1,0.00728213964138,0.00528742180381,0.0158129414622,0.00795220765037,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_004.csv,,4,32,100,10.6373524796,,5.92300574361e-05,5500,central,RBSOR,openmp_c,validated_but_not_converged
5,openmp_c,32,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,2.61771155268e-05,2.33092869773e-05,1.83313363655e-06,0.00176164142473,36.7470060326,343.0,9.29384779981e-05,0.0,1,0,0.119357892258,0.162929492829,0.258986333592,0.300117246011,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_005.csv,,5,32,400,36.7470060326,,9.29384779981e-05,4000,upwind,RBGS,openmp_c,needs_improvement
6,openmp_c,32,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,2.61771419367e-05,2.33092501914e-05,1.83305725346e-06,0.00176156802057,8.07588074543,76.85,6.45593192335e-05,0.0,1,0,0.119357899765,0.162929494829,0.258986353455,0.300117263753,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_006.csv,,6,32,400,8.07588074543,,6.45593192335e-05,4000,upwind,RBSOR,openmp_c,needs_improvement
7,openmp_c,32,400,central,RBGS,maxIter,needs_improvement,5500,5500,2.72133676059e-05,2.00118852991e-05,6.61894729498e-06,0.00636080835048,45.0671458039,316.7,9.31774606428e-05,0.0,1,0,0.132961219786,0.189003254317,0.286367704514,0.351604169496,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_007.csv,,7,32,400,45.0671458039,,9.31774606428e-05,5500,central,RBGS,openmp_c,needs_improvement
8,openmp_c,32,400,central,RBSOR,maxIter,needs_improvement,5500,5500,2.7213969499e-05,2.00121194614e-05,6.6189330443e-06,0.00636079465557,11.3489746898,75.9318181818,6.52177025163e-05,0.0,1,0,0.132961226633,0.189003262387,0.286367726616,0.351604199361,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_008.csv,,8,32,400,11.3489746898,,6.52177025163e-05,5500,central,RBSOR,openmp_c,needs_improvement
9,openmp_c,32,1000,upwind,RBGS,maxIter,needs_improvement,7000,7000,1.2244684154e-05,7.99806434776e-06,3.38317456713e-06,0.00325123075901,37.374474084,195.242857143,8.72827263944e-05,0.0,1,0,0.180889102324,0.271763659646,0.362031745986,0.458341099743,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_009.csv,,9,32,1000,37.374474084,,8.72827263944e-05,7000,upwind,RBGS,openmp_c,needs_improvement
10,openmp_c,32,1000,upwind,RBSOR,maxIter,needs_improvement,7000,7000,1.22446950451e-05,7.99806964898e-06,3.38311382248e-06,0.00325117238341,10.7531207707,57.6642857143,5.43281322189e-05,0.0,1,0,0.180889099695,0.271763663404,0.362031738423,0.458341105093,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_010.csv,,10,32,1000,10.7531207707,,5.43281322189e-05,7000,upwind,RBSOR,openmp_c,needs_improvement
11,openmp_c,32,1000,central,RBGS,maxIter,needs_improvement,8500,8500,4.70221744005e-06,2.74061152106e-06,1.76270924034e-05,0.0169396357997,36.2361058351,162.588235294,8.78148556893e-05,0.0,1,0,0.209119208852,0.305136194628,0.375117645632,0.509717486236,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_011.csv,,11,32,1000,36.2361058351,,8.78148556893e-05,8500,central,RBGS,openmp_c,needs_improvement
12,openmp_c,32,1000,central,RBSOR,maxIter,needs_improvement,8500,8500,4.70222408667e-06,2.74061006813e-06,1.76271437049e-05,0.0169396851004,12.375769062,51.2852941176,4.80505600101e-05,0.0,1,0,0.209119204371,0.305136193633,0.375117638741,0.509717483665,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_012.csv,,12,32,1000,12.375769062,,4.80505600101e-05,8500,central,RBSOR,openmp_c,needs_improvement
