solver_group,Quality,count
c_mpi,needs_improvement,14
c_mpi,validated_but_not_converged,22
c_openmp_t4,needs_improvement,14
c_openmp_t4,validated_but_not_converged,22
c_serial,needs_improvement,14
c_serial,validated_but_not_converged,22
cpp_mpi,needs_improvement,14
cpp_mpi,validated_but_not_converged,22
cpp_openmp_t4,needs_improvement,14
cpp_openmp_t4,validated_but_not_converged,22
cpp_serial,needs_improvement,14
cpp_serial,validated_but_not_converged,22
octave_looped,needs_improvement,16
octave_looped,validated_but_not_converged,18
octave_vectorized,needs_improvement,18
octave_vectorized,validated_but_not_converged,18
python_looped,needs_improvement,12
python_looped,validated_but_not_converged,8
python_mpi,needs_improvement,20
python_mpi,validated_but_not_converged,16
python_vectorized,needs_improvement,14
python_vectorized,validated_but_not_converged,22
