solver_group,CaseID,Implementation,N,Re,Scheme,PressureSolver,Runtime_s,Iterations,AvgPoissonRelResidual,Quality,source_file
c_openmp_t4,1,openmp_c,32,100,upwind,RBGS,38.4463522751,4000,9.17261227739e-05,validated_but_not_converged,comparison/results/split/c_openmp_t4_case_001.csv
c_openmp_t4,2,openmp_c,32,100,upwind,RBSOR,9.15705555864,4000,5.75090163629e-05,validated_but_not_converged,comparison/results/split/c_openmp_t4_case_002.csv
c_openmp_t4,3,openmp_c,32,100,central,RBGS,44.4318962358,5500,9.16411087027e-05,validated_but_not_converged,comparison/results/split/c_openmp_t4_case_003.csv
c_openmp_t4,4,openmp_c,32,100,central,RBSOR,10.6373524796,5500,5.92300574361e-05,validated_but_not_converged,comparison/results/split/c_openmp_t4_case_004.csv
c_openmp_t4,5,openmp_c,32,400,upwind,RBGS,36.7470060326,4000,9.29384779981e-05,needs_improvement,comparison/results/split/c_openmp_t4_case_005.csv
c_openmp_t4,6,openmp_c,32,400,upwind,RBSOR,8.07588074543,4000,6.45593192335e-05,needs_improvement,comparison/results/split/c_openmp_t4_case_006.csv
c_openmp_t4,7,openmp_c,32,400,central,RBGS,45.0671458039,5500,9.31774606428e-05,needs_improvement,comparison/results/split/c_openmp_t4_case_007.csv
c_openmp_t4,8,openmp_c,32,400,central,RBSOR,11.3489746898,5500,6.52177025163e-05,needs_improvement,comparison/results/split/c_openmp_t4_case_008.csv
c_openmp_t4,9,openmp_c,32,1000,upwind,RBGS,37.374474084,7000,8.72827263944e-05,needs_improvement,comparison/results/split/c_openmp_t4_case_009.csv
c_openmp_t4,10,openmp_c,32,1000,upwind,RBSOR,10.7531207707,7000,5.43281322189e-05,needs_improvement,comparison/results/split/c_openmp_t4_case_010.csv
c_openmp_t4,11,openmp_c,32,1000,central,RBGS,36.2361058351,8500,8.78148556893e-05,needs_improvement,comparison/results/split/c_openmp_t4_case_011.csv
c_openmp_t4,12,openmp_c,32,1000,central,RBSOR,12.375769062,8500,4.80505600101e-05,needs_improvement,comparison/results/split/c_openmp_t4_case_012.csv
c_openmp_t4,13,openmp_c,64,100,upwind,RBGS,383.688217666,4000,9.80531322402e-05,validated_but_not_converged,comparison/results/split/c_openmp_t4_case_013.csv
c_openmp_t4,14,openmp_c,64,100,upwind,RBSOR,53.9249262735,4000,8.02159832272e-05,validated_but_not_converged,comparison/results/split/c_openmp_t4_case_014.csv
