iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.00127717849574,0.000263839202385,1.27633858141e-05,0.0122656137674,0.0025,875,9.28941796223e-05,1
2,0.00124986342112,0.000407037258244,2.08632362197e-05,0.0200495700071,0.0025,850,9.74768396135e-05,1
3,0.00123041873977,0.000495442629675,2.60886581607e-05,0.0250712004924,0.0025,850,9.25730389602e-05,1
4,0.00121525085104,0.000554082250221,2.94073057458e-05,0.0282604208217,0.0025,850,8.92414915915e-05,1
5,0.00120281599178,0.000594601324966,3.14040148894e-05,0.0301792583087,0.0025,825,9.92268916932e-05,1
6,0.00119204411605,0.000623669535467,3.24589493751e-05,0.0311930503495,0.0025,825,9.71874946603e-05,1
7,0.00118269204342,0.000644888822562,3.28335128761e-05,0.0315530058739,0.0025,825,9.53532125337e-05,1
8,0.00117437939688,0.000660465768611,3.27138836083e-05,0.0314380421476,0.0025,825,9.37399149704e-05,1
9,0.00116689208802,0.000671928483067,3.22363489808e-05,0.0309791313706,0.0025,825,9.22661337573e-05,1
10,0.00116007758402,0.00068033413863,3.1502624905e-05,0.0302740225337,0.0025,825,9.08721859983e-05,1
11,0.00115382175902,0.000686438350249,3.05896519564e-05,0.0293966555301,0.0025,825,8.95143984224e-05,1
12,0.00114803642953,0.00069079511701,2.9556140403e-05,0.0284034509272,0.0025,825,8.81594902727e-05,1
13,0.00114271619207,0.00069381755085,2.84473096878e-05,0.02733786461,0.0025,800,9.92332089515e-05,1
14,0.00113761024625,0.000695823360743,2.72973442676e-05,0.0262327478411,0.0025,800,9.78045783253e-05,1
15,0.00113286419391,0.000697051816577,2.61328436776e-05,0.0251136627742,0.0025,800,9.61096191532e-05,1
16,0.0011283796307,0.000697690428987,2.49739795886e-05,0.0239999943846,0.0025,800,9.43167029147e-05,1
17,0.0011241216203,0.000697885118277,2.38359427363e-05,0.0229063409696,0.0025,800,9.24202584375e-05,1
18,0.00112006219647,0.000697749903845,2.27299964159e-05,0.0218435265557,0.0025,800,9.04098181859e-05,1
19,0.00111617757466,0.000697373994345,2.16642937082e-05,0.0208193862535,0.0025,800,8.82767496734e-05,1
20,0.00111248934545,0.000696826734618,2.06446466531e-05,0.0198395054336,0.0025,775,9.83783462632e-05,1
21,0.00110893029578,0.000696163386694,1.96745607326e-05,0.0189072528641,0.0025,775,9.5863221051e-05,1
22,0.00110552784099,0.000695425383655,1.87563086017e-05,0.0180248125663,0.0025,775,9.29715014725e-05,1
23,0.00110222835816,0.000694645019947,1.79368546949e-05,0.0172373173618,0.0025,775,8.99160665098e-05,1
24,0.00109904675962,0.000693846766035,1.76327140172e-05,0.0169450381705,0.0025,750,9.9203190649e-05,1
25,0.00109587495659,0.000693048920472,1.73141303935e-05,0.0166388793082,0.0025,750,9.56311254239e-05,1
26,0.00109279909398,0.000692264799878,1.69861836747e-05,0.0163237225114,0.0025,750,9.16532363624e-05,1
27,0.00108980617017,0.000691503696667,1.66532161218e-05,0.016003740693,0.0025,725,9.74388841854e-05,1
28,0.00108704301402,0.000690771203714,1.63186573335e-05,0.0156822296975,0.0025,725,8.95437175764e-05,1
29,0.00108449691659,0.000690071781186,1.5985696565e-05,0.015362254399,0.0025,700,9.37436603293e-05,1
30,0.00108621082083,0.000689406378183,1.56567690237e-05,0.0150461550318,0.0025,675,9.82990540938e-05,1
31,0.00108805565287,0.000688774873792,1.53338522552e-05,0.0147358320173,0.0025,675,8.9837731182e-05,1
32,0.00108986447344,0.000688177620717,1.50187495347e-05,0.0144330183029,0.0025,650,9.3450537486e-05,1
33,0.00109160446668,0.000687611555342,1.47126938636e-05,0.0141388988029,0.0025,625,9.73822446856e-05,1
34,0.00109327317291,0.000687073710625,1.44166147979e-05,0.0138543668208,0.0025,625,8.83177463716e-05,1
35,0.00109490187847,0.000686563400869,1.42394762263e-05,0.0136841366535,0.0025,600,9.10229815644e-05,1
36,0.00109646191378,0.000686075635957,1.41427573288e-05,0.013591189793,0.0025,575,9.39619915924e-05,1
37,0.00109796084777,0.000685607547417,1.40489536653e-05,0.0135010444724,0.0025,550,9.66603022075e-05,1
