iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.00536888770371,0.00109346699622,2.59375297537e-05,0.102946055593,0.0025,325,7.32291065499e-05,1
2,0.00526132615012,0.00167655508197,4.22289602275e-05,0.167606743143,0.0025,325,6.78909510121e-05,1
3,0.00517073190426,0.00202663791317,5.2611155486e-05,0.208813676124,0.0025,325,6.49794142646e-05,1
4,0.00508989256252,0.0022493149756,5.91053986455e-05,0.234589327224,0.0025,300,9.80027907843e-05,1
5,0.00501492453409,0.00239389723544,6.29276595207e-05,0.249759880638,0.0025,300,9.61271095207e-05,1
6,0.00494477379723,0.0024924257165,6.48669899403e-05,0.257457083073,0.0025,300,9.45121202164e-05,1
7,0.00487826662725,0.00255822784886,6.5461243657e-05,0.259815676075,0.0025,300,9.31111337278e-05,1
8,0.00481474687591,0.00260096469363,6.50906763921e-05,0.2583448946,0.0025,300,9.18008876328e-05,1
9,0.00475383770826,0.00262714935096,6.40312350455e-05,0.254139971896,0.0025,300,9.04958640525e-05,1
10,0.00469515296339,0.00264125885431,6.24869204921e-05,0.248010587433,0.0025,300,8.91340780473e-05,1
11,0.00463841880458,0.00264646713402,6.06104812992e-05,0.240563000277,0.0025,300,8.76681205748e-05,1
12,0.00458343376202,0.00264507877258,5.85172160624e-05,0.232254830552,0.0025,300,8.60601424053e-05,1
13,0.00453003448168,0.00263879824794,5.62945064505e-05,0.223432896102,0.0025,300,8.42790263126e-05,1
14,0.00447808561225,0.0026289039531,5.40085957722e-05,0.21436011662,0.0025,300,8.22988036737e-05,1
15,0.00442747299565,0.00261636462593,5.17095273684e-05,0.205235114125,0.0025,300,8.00978083865e-05,1
16,0.0043781901522,0.00260191960008,4.94348160286e-05,0.196206784817,0.0025,300,7.76582824266e-05,1
17,0.00433006300714,0.00258613555927,4.72122239469e-05,0.187385316845,0.0025,300,7.49662621353e-05,1
18,0.004283013502,0.00256944757602,4.50618892008e-05,0.178850638238,0.0025,300,7.20116353297e-05,1
19,0.00423697587311,0.00255218936175,4.29979766811e-05,0.170658969447,0.0025,300,6.87882927685e-05,1
20,0.00419189167246,0.00253461593595,4.10299706768e-05,0.162847953616,0.0025,300,6.52943163624e-05,1
21,0.00414780932758,0.00251690774997,3.91639763427e-05,0.155441822104,0.0025,275,9.56496011961e-05,1
22,0.0041043781192,0.00249924532002,3.74024806989e-05,0.148450445894,0.0025,275,8.96915889114e-05,1
23,0.00406192679672,0.00248170827461,3.57463879774e-05,0.141877413882,0.0025,275,8.30364761644e-05,1
24,0.00402025957849,0.00246437828346,3.41948056225e-05,0.135719183516,0.0025,275,7.59995851742e-05,1
25,0.00397932873777,0.00244731055558,3.27455398598e-05,0.129967047704,0.0025,275,6.86259699072e-05,1
26,0.00393916971653,0.00243053510892,3.13955947702e-05,0.124609115643,0.0025,250,9.49498839344e-05,1
27,0.00389954211332,0.00241409083441,3.05557213374e-05,0.121275657988,0.0025,250,8.30382842564e-05,1
28,0.00386062970229,0.00239797367157,2.9956926478e-05,0.118899041191,0.0025,250,6.84480928348e-05,1
29,0.00382238833872,0.00238218712141,2.93679726809e-05,0.11656148357,0.0025,225,8.42451253218e-05,1
30,0.00378468840342,0.00236673336731,2.87927654254e-05,0.114278485973,0.0025,200,9.91722810302e-05,1
31,0.00374753921426,0.00235159445662,2.82344803805e-05,0.11206265263,0.0025,200,6.82540072018e-05,1
32,0.00371104053726,0.00233677551722,2.7695539455e-05,0.109923596097,0.0025,175,7.15752599967e-05,1
33,0.00367510500719,0.00232220157849,2.71781757879e-05,0.107870179702,0.0025,200,6.67652030069e-05,1
34,0.00363967067007,0.00230793191202,2.68879999361e-05,0.106718471747,0.0025,200,8.41342740036e-05,1
35,0.00360480836617,0.00229389160886,2.66261294471e-05,0.105679107775,0.0025,225,6.38741916534e-05,1
36,0.00357033249526,0.00228011356103,2.63708933553e-05,0.104666075727,0.0025,225,7.25692918938e-05,1
37,0.00353636588944,0.00226654646138,2.61221878409e-05,0.10367896354,0.0025,225,8.09601068445e-05,1
38,0.00350286237097,0.00225317692996,2.58799288595e-05,0.102717437643,0.0025,225,8.85915657171e-05,1
39,0.00348198848204,0.00223998851016,2.56439911205e-05,0.101781000757,0.0025,225,9.54900440789e-05,1
40,0.0034647494802,0.002226947414,2.54140189828e-05,0.100868241343,0.0025,250,6.46472077539e-05,1
41,0.00344745936123,0.00221408117505,2.51901795878e-05,0.0999798227838,0.0025,250,6.76881211023e-05,1
42,0.00343019696083,0.00220134302107,2.49721138436e-05,0.0991143198453,0.0025,250,7.07634215558e-05,1
43,0.00341294554056,0.00218872337907,2.47595571368e-05,0.0982706822761,0.0025,250,7.51200828994e-05,1
44,0.00339570499751,0.0021762102787,2.4552252201e-05,0.0974478889858,0.0025,250,8.00730802739e-05,1
45,0.00338616524267,0.00216379207672,2.43499404983e-05,0.0966449138376,0.0025,250,8.45835371432e-05,1
46,0.00337784938831,0.00215145794772,2.41523632283e-05,0.0958607296532,0.0025,250,8.86730190693e-05,1
47,0.00336936723664,0.00213919798352,2.39592636897e-05,0.0950943175843,0.0025,250,9.23631382168e-05,1
48,0.00336071379178,0.00212700319871,2.37703895485e-05,0.0943446761181,0.0025,250,9.5675195377e-05,1
49,0.00335188512751,0.00211486550549,2.35854947314e-05,0.0936108285889,0.0025,250,9.86300326881e-05,1
50,0.00334289977884,0.00210276511712,2.34041923611e-05,0.0928912394813,0.0025,275,6.47864325299e-05,1
51,0.0033336970721,0.00209072740104,2.32265467319e-05,0.0921861639788,0.0025,275,6.5954632875e-05,1
52,0.00332432537245,0.00207872301369,2.30522215249e-05,0.0914942672325,0.0025,275,6.72128527132e-05,1
53,0.00331477351321,0.00206675032571,2.28809864192e-05,0.0908146350977,0.0025,275,6.83079974717e-05,1
54,0.00330503999591,0.00205480584166,2.27126366128e-05,0.0901464547161,0.0025,275,6.92398099593e-05,1
55,0.00329512503759,0.00204288616536,2.25469817795e-05,0.0894889706828,0.0025,275,7.00169306929e-05,1
56,0.00328502960828,0.00203098833214,2.23838435687e-05,0.0888414751242,0.0025,275,7.06490295232e-05,1
57,0.00327475520052,0.00201910985815,2.22230547621e-05,0.0882033043509,0.0025,275,7.11457787628e-05,1
58,0.00326430373309,0.00200724872671,2.20644588223e-05,0.0875738370658,0.0025,275,7.15165880731e-05,1
59,0.00325367749086,0.00199540335806,2.19079095301e-05,0.0869524929251,0.0025,275,7.17705151664e-05,1
60,0.00324287907803,0.00198357257478,2.1753270629e-05,0.0863387311266,0.0025,275,7.19162327381e-05,1
61,0.00323191137838,0.00197175556695,2.16004154556e-05,0.0857320489433,0.0025,275,7.19620174611e-05,1
62,0.00322077752014,0.00195995185843,2.1449226555e-05,0.0851319801966,0.0025,275,7.1915749127e-05,1
63,0.0032094808445,0.00194816127485,2.12995952841e-05,0.0845380936827,0.0025,275,7.17849150539e-05,1
