iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.136414712143,0.0275720756278,0.000324181701559,5.22872666444,0.00155000310001,825,9.33125946225e-05,1
2,0.0981748118939,0.032888133873,0.000460080777161,7.42064285483,0.00155000310001,825,9.53098682512e-05,1
3,0.0732968323074,0.0306325012377,0.000507009161668,8.17755076854,0.00155000310001,825,9.30666015014e-05,1
4,0.0565915543553,0.0264295625707,0.000514141443051,8.29258733498,0.00155000310001,800,9.87681128671e-05,1
5,0.0450020289953,0.0223840894708,0.00050354814474,8.12172802651,0.00155000310001,800,8.896979795e-05,1
6,0.036717959599,0.0188776612343,0.000485232662208,7.82631760876,0.00155000310001,750,9.98314837838e-05,1
7,0.030608980388,0.0165060994608,0.000463826447081,7.48105676496,0.00155000310001,725,9.6044139112e-05,1
8,0.0259883466819,0.0150970230708,0.000441534360418,7.12150769918,0.00155000310001,700,8.90935213511e-05,1
9,0.0234930091752,0.0137434165361,0.000419424698461,6.76490096148,0.00155000310001,650,9.06030659226e-05,1
10,0.0218746573298,0.0124868341486,0.000398012016135,6.41953580824,0.00155000310001,600,8.80670000176e-05,1
11,0.0203607171238,0.0113520479406,0.000377538932439,6.08932544131,0.00155000310001,525,9.27818772268e-05,1
12,0.0189627158427,0.0105538987595,0.000358103615308,5.77585321131,0.00155000310001,450,9.11268760968e-05,1
13,0.0176852367839,0.00981465518432,0.000339733304513,5.47955846849,0.00155000310001,325,9.35456960132e-05,1
14,0.0165100189456,0.00913433014956,0.000322406410686,5.20009299795,0.00155000310001,150,9.70560684524e-05,1
15,0.0154647180614,0.00860269020202,0.000306090147373,4.93692798697,0.00155000310001,425,8.96788168225e-05,1
16,0.0145059432147,0.00814262761648,0.000290751343502,4.68952841935,0.00155000310001,475,9.88477745797e-05,1
17,0.0136340037916,0.00770817367535,0.00027633682942,4.45703672171,0.00155000310001,525,9.67299269802e-05,1
18,0.0128388233487,0.0072988494125,0.000262792439524,4.23857925709,0.00155000310001,575,8.76363134963e-05,1
19,0.0121105179055,0.00691422830463,0.000250063066998,4.03326720761,0.00155000310001,575,9.90939048216e-05,1
20,0.011447088749,0.00660433262601,0.000238099879978,3.84031296417,0.00155000310001,600,9.63190597883e-05,1
21,0.0108382434539,0.00631898032137,0.00022685375899,3.65892427875,0.00155000310001,625,9.10796368411e-05,1
22,0.0102780338703,0.00604840168458,0.000216277323325,3.4883369479,0.00155000310001,625,9.67073703223e-05,1
23,0.00976409659947,0.00579171787375,0.000206328211857,3.32786772904,0.00155000310001,650,8.93514547019e-05,1
24,0.00931266641365,0.00554857076298,0.000196964052039,3.17683319533,0.00155000310001,650,9.27832786175e-05,1
25,0.00901556256007,0.00531812311422,0.000188146655617,3.03461740845,0.00155000310001,650,9.60470751653e-05,1
26,0.00872926594856,0.00509976815026,0.000179840064852,2.900640406,0.00155000310001,650,9.8798136565e-05,1
27,0.00845463273777,0.00489279871867,0.000172011337647,2.77437086491,0.00155000310001,675,8.86228817266e-05,1
