iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.0127717849574,0.00263839202385,0.000127633858141,0.122656137674,0.0025,875,9.28941796224e-05,1
2,0.0121893506527,0.00398967787874,0.000206016312435,0.19798167625,0.0025,850,9.84116622673e-05,1
3,0.0117022781483,0.00475370173058,0.000254395678061,0.244474246616,0.0025,850,9.40564978811e-05,1
4,0.0112733206611,0.00519985899954,0.000283198914945,0.272154157262,0.0025,850,9.10041641388e-05,1
5,0.0108849494061,0.00545448350511,0.000298697864501,0.287048647785,0.0025,850,8.86155132147e-05,1
6,0.0105286457994,0.00559298395463,0.000304943267478,0.293050480046,0.0025,825,9.89372761735e-05,1
7,0.0101962470042,0.00565321799759,0.000304674752711,0.292792437355,0.0025,825,9.68821019631e-05,1
8,0.00988617677263,0.00565935839758,0.000299820413888,0.288127417746,0.0025,825,9.46754482335e-05,1
9,0.00959485592026,0.00562785348734,0.000291766884594,0.280387976095,0.0025,825,9.23861751761e-05,1
10,0.00932006315589,0.00556992275822,0.00028152949396,0.270549843696,0.0025,825,8.9958305258e-05,1
11,0.00906069659406,0.0054934329704,0.000269862544413,0.259337905181,0.0025,800,9.98863249841e-05,1
12,0.00881333595227,0.00540407736494,0.000257323305832,0.247287696904,0.0025,800,9.6843811642e-05,1
13,0.0085787520249,0.00530596153804,0.000244332790771,0.234803811931,0.0025,800,9.33092313811e-05,1
14,0.00835529066034,0.00520214350464,0.000231204522266,0.222187545898,0.0025,800,8.94405009413e-05,1
15,0.00814251454374,0.00509489213112,0.000218172594173,0.209663863,0.0025,775,9.74940272379e-05,1
16,0.00793815228023,0.00498593218777,0.000205404800921,0.197394013685,0.0025,775,9.24601330595e-05,1
17,0.00774342565448,0.00487651875614,0.000193026394667,0.185498365275,0.0025,750,9.92860279194e-05,1
18,0.0075559385078,0.00476762440345,0.000181121055463,0.1740573343,0.0025,750,9.24464064928e-05,1
19,0.00737678902687,0.00465994229052,0.000169748242254,0.163128060806,0.0025,725,9.70823581022e-05,1
20,0.0072041306904,0.0045540054314,0.000158941379866,0.152742666051,0.0025,725,8.79020753618e-05,1
21,0.00703911416505,0.00445017868734,0.000148720399628,0.142920304042,0.0025,700,8.90811437601e-05,1
22,0.00687992283434,0.00434872986122,0.000139089824712,0.133665321548,0.0025,675,8.82218062461e-05,1
23,0.00672671796223,0.0042498326078,0.000130045551441,0.124973774935,0.0025,625,9.67070189976e-05,1
24,0.00657841071132,0.00415359765159,0.000121574040432,0.116832652855,0.0025,600,8.77455007989e-05,1
25,0.00643578843284,0.00406008181773,0.000113659139192,0.109226432764,0.0025,525,9.53400514991e-05,1
26,0.00629739231189,0.00396930641258,0.000106277794764,0.102132960769,0.0025,450,8.60375089412e-05,1
27,0.00616309516189,0.00388130668885,9.94033947819e-05,0.0955266623854,0.0025,325,8.90486259924e-05,1
28,0.00603430191343,0.00379577046618,9.30171361591e-05,0.0893894678489,0.0025,475,9.33117644204e-05,1
29,0.00590986967344,0.0037129926783,8.7091404247e-05,0.0836948394814,0.0025,550,9.73453035598e-05,1
30,0.00578927133646,0.00363277479121,8.1598527657e-05,0.0784161850784,0.0025,625,8.74808809209e-05,1
31,0.00567292627355,0.00355504846831,7.651004347e-05,0.0735261517747,0.0025,650,9.60987403357e-05,1
