iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.00319231352701,0.000659595383957,3.19069698787e-05,0.0306625980535,0.0025,175,6.18458122442e-05,1
2,0.00311105817378,0.00101439603516,5.20052263496e-05,0.049977022522,0.0025,175,5.67176283129e-05,1
3,0.00304970243915,0.00123045330944,6.48088392741e-05,0.0622812945424,0.0025,175,5.39836705877e-05,1
4,0.0029990338552,0.00137094292895,7.27653808116e-05,0.06992753096,0.0025,175,5.22852006106e-05,1
5,0.00295513625391,0.00146527900588,7.73577751331e-05,0.0743408219029,0.0025,175,5.11286406034e-05,1
6,0.00291598369513,0.00153066689643,7.95544631639e-05,0.0764518391006,0.0025,175,5.02878602426e-05,1
7,0.00288038637736,0.00157592115923,8.00219711342e-05,0.07690111426,0.0025,175,4.96424376192e-05,1
8,0.00284758003152,0.00160676771957,7.92365171752e-05,0.0761462930054,0.0025,175,4.91207812934e-05,1
9,0.00281703978246,0.00162710585809,7.75475945466e-05,0.0745232383592,0.0025,175,4.86763776428e-05,1
10,0.00278838610423,0.0016396418388,7.52166273264e-05,0.0722831788606,0.0025,175,4.82765920336e-05,1
11,0.00276133321722,0.00164631677861,7.24417468523e-05,0.069616518725,0.0025,175,4.78968871653e-05,1
12,0.00273565886091,0.00164855929517,6.93743801293e-05,0.0666687793042,0.0025,175,4.75176207347e-05,1
13,0.00271118561487,0.0016474421444,6.61307666557e-05,0.0635516667562,0.0025,175,4.71221715715e-05,1
14,0.00268776882787,0.00164378346035,6.28002005041e-05,0.0603509926845,0.0025,175,4.66957969483e-05,1
15,0.00266528851745,0.00163821458098,5.94510805349e-05,0.057132488394,0.0025,175,4.62249172637e-05,1
16,0.00264364375698,0.00163122692565,5.61354469934e-05,0.0539461645607,0.0025,175,4.56966656781e-05,1
17,0.00262274867704,0.00162320528517,5.28924439751e-05,0.0508296386601,0.0025,175,4.50986126442e-05,1
18,0.0026025295456,0.00161445202836,4.9751001253e-05,0.0478107122042,0.0025,175,4.44186141187e-05,1
19,0.00258292258621,0.00160520506962,4.67319368337e-05,0.0449093912972,0.0025,175,4.3644753801e-05,1
20,0.00256387231137,0.00159565144627,4.38496217886e-05,0.0421394865389,0.0025,175,4.27653622155e-05,1
21,0.00254533022171,0.00158593773814,4.11133090609e-05,0.0395098900075,0.0025,175,4.17691022432e-05,1
22,0.00252725376945,0.00157617817114,3.85282007724e-05,0.0370256009423,0.0025,175,4.06451145006e-05,1
23,0.00250963770808,0.00156646099171,3.60963096195e-05,0.0346885535443,0.0025,175,3.93832172157e-05,1
24,0.00249258639238,0.00155684501909,3.400803968e-05,0.0326817261325,0.0025,150,9.81361054626e-05,1
25,0.00247573714173,0.00154740334166,3.27551951823e-05,0.0314777425702,0.0025,150,9.43107047772e-05,1
26,0.00245926649064,0.00153815517216,3.14998666266e-05,0.0302713718282,0.0025,150,8.98481120928e-05,1
27,0.00244308633502,0.00152912889522,3.0253229667e-05,0.02907335371,0.0025,150,8.49391788511e-05,1
28,0.00242716898416,0.0015203423124,2.90246265958e-05,0.0278926661586,0.0025,150,7.95891168431e-05,1
29,0.00241149160097,0.0015118057599,2.78217818384e-05,0.0267367323467,0.0025,150,7.38006807945e-05,1
30,0.00239681271362,0.00150352385929,2.66509866651e-05,0.0256115981851,0.0025,150,6.75825387682e-05,1
31,0.0023824414163,0.00149549678289,2.55172674493e-05,0.0245220940188,0.0025,150,6.09508642544e-05,1
32,0.00236834202238,0.00148772125139,2.44245394954e-05,0.023471982455,0.0025,150,5.34547559965e-05,1
33,0.00235450064421,0.0014801913403,2.33757472007e-05,0.0224640930598,0.0025,150,4.45775509299e-05,1
34,0.00234092792631,0.00147290157712,2.23730295178e-05,0.0215004813666,0.0025,125,9.32000843548e-05,1
35,0.00232753211575,0.00146583727779,2.14176289968e-05,0.0205823414659,0.0025,125,7.22541138549e-05,1
36,0.00231438360325,0.00145899159448,2.05103798237e-05,0.0197104750105,0.0025,125,5.1609809794e-05,1
37,0.0023022398289,0.00145235272659,1.96515005323e-05,0.0188850920115,0.0025,125,4.16689662691e-05,1
38,0.00229074320921,0.0014459092613,1.88407542324e-05,0.0181059648173,0.0025,125,5.65000253808e-05,1
39,0.00227938105232,0.0014396496476,1.80775275195e-05,0.0173725039462,0.0025,125,7.03747225597e-05,1
40,0.00226813776878,0.00143356235475,1.76731305018e-05,0.0169838784122,0.0025,125,8.33122544339e-05,1
41,0.00225699903283,0.00142763601815,1.72992597446e-05,0.0166245886146,0.0025,125,9.53363518177e-05,1
42,0.00224650846914,0.00142184916955,1.70333982513e-05,0.0163690957195,0.0025,150,4.08299203592e-05,1
43,0.0022361235618,0.00141621718378,1.68044722649e-05,0.0161490978466,0.0025,150,4.45142307046e-05,1
44,0.00222575583707,0.0014107102112,1.65931442814e-05,0.0159460116544,0.0025,150,4.80749675903e-05,1
45,0.00221538540314,0.00140532143465,1.63981021821e-05,0.015758576197,0.0025,150,5.13499644643e-05,1
46,0.00220501043362,0.00140004207477,1.62181116441e-05,0.01558560529,0.0025,150,5.43444074185e-05,1
47,0.00219463071855,0.00139486347539,1.60520038863e-05,0.0154259757348,0.0025,150,5.70713224833e-05,1
48,0.00218424687392,0.00138977739986,1.58986741354e-05,0.0152786258442,0.0025,150,5.95450694508e-05,1
49,0.00217386013987,0.00138477609679,1.57570813761e-05,0.0151425552025,0.0025,150,6.17803705643e-05,1
50,0.00216347225305,0.00137985231311,1.5626247864e-05,0.0150168241973,0.0025,150,6.37919609435e-05,1
51,0.00215308534403,0.00137499928933,1.55052581492e-05,0.0149005530813,0.0025,150,6.55943900639e-05,1
52,0.00214270184925,0.00137021074678,1.53932576285e-05,0.014792920581,0.0025,150,6.72018828737e-05,1
53,0.0021323244343,0.00136548087049,1.52894507041e-05,0.0146931621266,0.0025,150,6.86282350651e-05,1
54,0.00212195592707,0.00136080428949,1.51930986346e-05,0.0146005677879,0.0025,150,6.98867331711e-05,1
55,0.00211159925982,0.00135617605538,1.51035171601e-05,0.0145144799909,0.0025,150,7.0990094886e-05,1
56,0.00210125741943,0.00135159162015,1.50200739684e-05,0.0144342910836,0.0025,150,7.19504265911e-05,1
57,0.002090933405,0.00134704681345,1.4942186063e-05,0.0143594408065,0.0025,150,7.27791956927e-05,1
58,0.00208063019224,0.00134253781989,1.48693170811e-05,0.0142894137149,0.0025,150,7.34872155875e-05,1
59,0.00207035070392,0.00133806115662,1.48009746022e-05,0.0142237365927,0.0025,150,7.4738828208e-05,1
60,0.00206009778573,0.00133361365132,1.47367074796e-05,0.0141619758879,0.0025,150,7.59190757522e-05,1
61,0.00204987418705,0.00132919242092,1.46761032205e-05,0.0141037351949,0.0025,150,7.69529088788e-05,1
62,0.00203968254597,0.00132479485106,1.46187854366e-05,0.0140486528045,0.0025,150,7.78505799626e-05,1
63,0.002029525378,0.00132041857641,1.45644113774e-05,0.0139963993337,0.0025,150,7.86218193338e-05,1
64,0.00201940506815,0.00131606146192,1.45126695614e-05,0.0139466754485,0.0025,150,7.92758332427e-05,1
65,0.00201019109143,0.00131172158509,1.44632775101e-05,0.0138992096872,0.0025,150,7.98213077274e-05,1
66,0.00200115891228,0.00130739721912,1.44159795903e-05,0.0138537563863,0.0025,150,8.02664172705e-05,1
67,0.00199217882357,0.00130308681716,1.43705449696e-05,0.0138100937158,0.0025,150,8.06188372703e-05,1
68,0.00198342699779,0.00129878899747,1.43267656818e-05,0.0137680218202,0.0025,150,8.08857594484e-05,1
69,0.00197646478197,0.00129450252951,1.42844548056e-05,0.0137273610682,0.0025,150,8.10739094621e-05,1
70,0.00196952115378,0.00129022632107,1.42434447506e-05,0.0136879504054,0.0025,150,8.11895661008e-05,1
71,0.00196259482488,0.00128595940617,1.42035856508e-05,0.0136496458105,0.0025,150,8.12385815121e-05,1
72,0.00195568460683,0.0012817009339,1.41647438595e-05,0.013612318849,0.0025,150,8.12264020358e-05,1
73,0.00194878940868,0.00127745015807,1.41268005424e-05,0.0135758553213,0.0025,150,8.11580892953e-05,1
74,0.00194190823434,0.0012732064276,1.40896503642e-05,0.013540154,0.0025,150,8.10383412125e-05,1
75,0.00193504017966,0.00126896917768,1.40532002634e-05,0.0135051254532,0.0025,150,8.08715127617e-05,1
76,0.00192818442946,0.00126473792162,1.40173683113e-05,0.0134706909472,0.0025,150,8.06616362627e-05,1
77,0.0019213402543,0.00126051224336,1.3982082649e-05,0.0134367814257,0.0025,150,8.04124410795e-05,1
78,0.00191450700723,0.00125629179052,1.39472804987e-05,0.0134033365592,0.0025,150,8.01273726258e-05,1
79,0.0019076841205,0.00125207626815,1.39129072447e-05,0.0133703038622,0.0025,150,7.98096105982e-05,1
80,0.00190087110216,0.00124786543283,1.38789155791e-05,0.0133376378715,0.0025,150,7.94620864419e-05,1
81,0.00189406753271,0.00124365908748,1.38452647076e-05,0.013305299384,0.0025,150,7.90874999432e-05,1
82,0.00188727306169,0.00123945707638,1.38119196137e-05,0.0132732547488,0.0025,150,7.86883350318e-05,1
83,0.00188048740435,0.00123525928084,1.37788503748e-05,0.0132414752101,0.0025,150,7.82668747258e-05,1
84,0.00187371033831,0.00123106561509,1.37460315287e-05,0.0132099362991,0.0025,150,7.78252152897e-05,1
85,0.00186694170027,0.00122687602263,1.37134414875e-05,0.0131786172695,0.0025,150,7.73652795813e-05,1
86,0.00186018138274,0.00122269047287,1.36810619946e-05,0.0131475005768,0.0025,150,7.68888296616e-05,1
87,0.00185342933088,0.00121850895805,1.36488776244e-05,0.013116571397,0.0025,150,7.63974786636e-05,1
88,0.00184769385792,0.00121433149053,1.36168753199e-05,0.0130858171824,0.0025,150,7.58927019694e-05,1
89,0.00184300622638,0.00121015810021,1.35850439691e-05,0.0130552272543,0.0025,150,7.53758477284e-05,1
90,0.00183829378861,0.00120598883229,1.35533740157e-05,0.0130247924291,0.0025,150,7.48481467586e-05,1
91,0.00183355716493,0.00120182374523,1.35218571038e-05,0.0129945046767,0.0025,150,7.4310721836e-05,1
92,0.00182879697341,0.00119766290882,1.34904857547e-05,0.0129643568103,0.0025,150,7.3764596459e-05,1
93,0.00182401383022,0.00119350640259,1.34592530752e-05,0.0129343422052,0.0025,150,7.32107030587e-05,1
94,0.00181920835003,0.00118935431422,1.34281524943e-05,0.012904454547,0.0025,150,7.26498907387e-05,1
95,0.00181438114646,0.00118520673821,1.33971775297e-05,0.012874687606,0.0025,150,7.20829325221e-05,1
96,0.00180953283264,0.00118106377468,1.33663215804e-05,0.0128450350388,0.0025,150,7.15105321878e-05,1
97,0.00180466402174,0.00117692552825,1.33355777467e-05,0.0128154902146,0.0025,150,7.09333306784e-05,1
98,0.00179977532755,0.00117279210709,1.33049386747e-05,0.0127860460664,0.0025,150,7.03519120968e-05,1
99,0.00179486736501,0.00116866362202,1.32743964255e-05,0.0127566949649,0.0025,150,6.97668093637e-05,1
100,0.00178994075076,0.00116454018579,1.32439423682e-05,0.0127274286158,0.0025,150,6.9178509508e-05,1
101,0.00178499610363,0.00116042191239,1.32135670947e-05,0.012698237978,0.0025,150,6.85874586113e-05,1
102,0.00178003404511,0.00115630891644,1.31832603564e-05,0.0126691132025,0.0025,150,6.79940664408e-05,1
103,0.00177505519973,0.00115220131268,1.31530110212e-05,0.0126400435914,0.0025,150,6.73987107841e-05,1
104,0.0017700601954,0.00114809921556,1.31228070501e-05,0.0126110175751,0.0025,150,6.68017414795e-05,1
105,0.00176504966369,0.00114400273882,1.30926354919e-05,0.0125820227078,0.0025,150,6.62034841628e-05,1
106,0.00176002423997,0.00113991199518,1.30624824961e-05,0.0125530456788,0.0025,150,6.56042437615e-05,1
107,0.00175498456358,0.00113582709608,1.30323333405e-05,0.0125240723402,0.0025,150,6.50043077236e-05,1
108,0.00174993127779,0.00113174815145,1.30021724753e-05,0.0124950877487,0.0025,150,6.44039489791e-05,1
109,0.00174486502979,0.00112767526955,1.29719835802e-05,0.0124660762205,0.0025,150,6.3803428688e-05,1
110,0.0017397864705,0.00112360855682,1.29417496343e-05,0.0124370213985,0.0025,150,6.32029987463e-05,1
