case_index,case_id,N,Re,scheme,pressure,steps,poisson_iters,repeat,field_file,status
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case1_N32_Re100_upwind_steps1000_p200_RBGS_fields.csv,success
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,2,,success
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,3,,success
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case1_N32_Re100_upwind_steps1000_p200_RBSOR_fields.csv,success
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,2,,success
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,3,,success
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBGS,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case2_N32_Re100_central_steps1000_p200_RBGS_fields.csv,success
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBGS,1000,200,2,,success
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBGS,1000,200,3,,success
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBSOR,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case2_N32_Re100_central_steps1000_p200_RBSOR_fields.csv,success
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBSOR,1000,200,2,,success
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBSOR,1000,200,3,,success
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBGS,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case3_N32_Re400_upwind_steps1000_p200_RBGS_fields.csv,success
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBGS,1000,200,2,,success
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBGS,1000,200,3,,success
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBSOR,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case3_N32_Re400_upwind_steps1000_p200_RBSOR_fields.csv,success
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBSOR,1000,200,2,,success
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBSOR,1000,200,3,,success
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBGS,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case4_N32_Re400_central_steps1000_p200_RBGS_fields.csv,success
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBGS,1000,200,2,,success
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBGS,1000,200,3,,success
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBSOR,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case4_N32_Re400_central_steps1000_p200_RBSOR_fields.csv,success
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBSOR,1000,200,2,,success
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBSOR,1000,200,3,,success
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBGS,2000,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case5_N32_Re1000_upwind_steps2000_p250_RBGS_fields.csv,success
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBGS,2000,250,2,,success
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBGS,2000,250,3,,success
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBSOR,2000,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_fields.csv,success
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBSOR,2000,250,2,,success
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBSOR,2000,250,3,,success
6,case6_N32_Re1000_central_steps2000_p250,32,1000,central,RBGS,2000,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case6_N32_Re1000_central_steps2000_p250_RBGS_fields.csv,success
6,case6_N32_Re1000_central_steps2000_p250,32,1000,central,RBGS,2000,250,2,,success
