case_index,case_id,N,Re,scheme,pressure,steps,poisson_iters,repeat,return_code,status,log_out,log_err
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBGS_rep1.err
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBGS_rep2.err
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBGS_rep3.err
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBSOR_rep1.err
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBSOR_rep2.err
1,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case1_N32_Re100_upwind_steps1000_p200_RBSOR_rep3.err
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBGS,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBGS_rep1.err
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBGS,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBGS_rep2.err
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBGS,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBGS_rep3.err
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBSOR,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBSOR_rep1.err
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBSOR,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBSOR_rep2.err
2,case2_N32_Re100_central_steps1000_p200,32,100,central,RBSOR,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case2_N32_Re100_central_steps1000_p200_RBSOR_rep3.err
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBGS,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBGS_rep1.err
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBGS,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBGS_rep2.err
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBGS,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBGS_rep3.err
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBSOR,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBSOR_rep1.err
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBSOR,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBSOR_rep2.err
3,case3_N32_Re400_upwind_steps1000_p200,32,400,upwind,RBSOR,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case3_N32_Re400_upwind_steps1000_p200_RBSOR_rep3.err
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBGS,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBGS_rep1.err
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBGS,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBGS_rep2.err
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBGS,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBGS_rep3.err
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBSOR,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBSOR_rep1.err
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBSOR,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBSOR_rep2.err
4,case4_N32_Re400_central_steps1000_p200,32,400,central,RBSOR,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case4_N32_Re400_central_steps1000_p200_RBSOR_rep3.err
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBGS,2000,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBGS_rep1.err
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBGS,2000,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBGS_rep2.err
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBGS,2000,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBGS_rep3.err
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBSOR,2000,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_rep1.err
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBSOR,2000,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_rep2.err
5,case5_N32_Re1000_upwind_steps2000_p250,32,1000,upwind,RBSOR,2000,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case5_N32_Re1000_upwind_steps2000_p250_RBSOR_rep3.err
6,case6_N32_Re1000_central_steps2000_p250,32,1000,central,RBGS,2000,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBGS_rep1.err
6,case6_N32_Re1000_central_steps2000_p250,32,1000,central,RBGS,2000,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBGS_rep2.err
6,case6_N32_Re1000_central_steps2000_p250,32,1000,central,RBGS,2000,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBGS_rep3.err
6,case6_N32_Re1000_central_steps2000_p250,32,1000,central,RBSOR,2000,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBSOR_rep1.err
6,case6_N32_Re1000_central_steps2000_p250,32,1000,central,RBSOR,2000,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case6_N32_Re1000_central_steps2000_p250_RBSOR_rep2.err
