backend,case,best_runtime_s
CPU Hybrid,1,8.6850054264
CPU Hybrid,2,8.3624374866
CPU Hybrid,3,7.195836305599999
CPU Hybrid,4,6.5233752728
CPU Hybrid,5,9.4725635052
CPU Hybrid,6,7.7941510677
CPU Hybrid,7,22.272998333
CPU Hybrid,8,21.9581942558
CPU Hybrid,9,18.3329436779
CPU Hybrid,10,18.1434648037
CPU Hybrid,11,24.1777393818
CPU Hybrid,12,25.3270895481
CPU Hybrid,13,431.5638420582
CPU Hybrid,14,94.86792993549999
CPU Hybrid,15,104.5461916924
CPU Hybrid,16,109.3539810181
CPU Hybrid,17,122.87438797950001
CPU Hybrid,18,139.8621816635
CPU MPI,1,7.9630050659
CPU MPI,2,7.6891465187
CPU MPI,3,6.6010646820000005
CPU MPI,4,5.9829268456
CPU MPI,5,8.7328457832
CPU MPI,6,7.1893315315
CPU MPI,7,16.9744617939
CPU MPI,8,16.6234834194
CPU MPI,9,14.0182571411
CPU MPI,10,13.8048985004
CPU MPI,11,18.3781173229
CPU MPI,12,19.2497067451
CPU MPI,13,210.91074252130002
CPU MPI,14,46.5974113941
CPU MPI,15,51.598161697399995
CPU MPI,16,53.7455716133
CPU MPI,17,60.6475021839
CPU MPI,18,68.7426342964
CPU OpenMP,1,0.5173513964
CPU OpenMP,2,0.5046291761
CPU OpenMP,3,0.4972805046
CPU OpenMP,4,0.470267728
CPU OpenMP,5,0.412851043
CPU OpenMP,6,0.3384106718
CPU OpenMP,7,2.3093104064
CPU OpenMP,8,2.3756478652
CPU OpenMP,9,2.4705592655
CPU OpenMP,10,2.5292831436000003
CPU OpenMP,11,1.9232501946
CPU OpenMP,12,2.0764582381
CPU OpenMP,13,2.0895161591
CPU OpenMP,14,6.2608043291
CPU OpenMP,15,6.2432053052
CPU OpenMP,16,6.5920602977
CPU OpenMP,17,5.2940385751
CPU OpenMP,18,5.8627275041999996
CUDA A100,1,2.45660668945
CUDA A100,2,2.4319641113299997
CUDA A100,3,2.4637890625
CUDA A100,4,2.42530297852
CUDA A100,5,6.107414550780001
CUDA A100,6,6.13345996094
CUDA A100,7,2.50277685547
CUDA A100,8,2.49726147461
CUDA A100,9,2.49163061523
CUDA A100,10,2.49105004883
CUDA A100,11,6.23396777344
CUDA A100,12,6.247298828130001
CUDA A100,13,7.99520996094
CUDA A100,14,8.14569580078
CUDA A100,15,7.99523339844
CUDA A100,16,8.02991796875
CUDA A100,17,15.6498408203
CUDA A100,18,15.555741210899999
