SourceFamily,CaseIndex,BestRuntime_s
hybrid,1,8.6850054264
hybrid,2,8.3624374866
hybrid,3,7.195836305599999
hybrid,4,6.5233752728
hybrid,5,9.4725635052
hybrid,6,7.7941510677
hybrid,7,22.272998333
hybrid,8,21.9581942558
hybrid,9,18.3329436779
hybrid,10,18.1434648037
hybrid,11,24.1777393818
hybrid,12,25.3270895481
hybrid,13,431.5638420582
hybrid,14,94.86792993549999
hybrid,15,104.5461916924
hybrid,16,109.3539810181
hybrid,17,122.87438797950001
hybrid,18,139.8621816635
mpi,1,7.9630050659
mpi,2,7.6891465187
mpi,3,6.6010646820000005
mpi,4,5.9829268456
mpi,5,8.7328457832
mpi,6,7.1893315315
mpi,7,16.9744617939
mpi,8,16.6234834194
mpi,9,14.0182571411
mpi,10,13.8048985004
mpi,11,18.3781173229
mpi,12,19.2497067451
mpi,13,210.91074252130002
mpi,14,46.5974113941
mpi,15,51.598161697399995
mpi,16,53.7455716133
mpi,17,60.6475021839
mpi,18,68.7426342964
openmp,1,0.5173513964
openmp,2,0.5046291761
openmp,3,0.4972805046
openmp,4,0.470267728
openmp,5,0.412851043
openmp,6,0.3384106718
openmp,7,2.3093104064
openmp,8,2.3756478652
openmp,9,2.4705592655
openmp,10,2.5292831436000003
openmp,11,1.9232501946
openmp,12,2.0764582381
openmp,13,2.0895161591
openmp,14,6.2608043291
openmp,15,6.2432053052
openmp,16,6.5920602977
openmp,17,5.2940385751
openmp,18,5.8627275041999996
