SourceFamily,CaseIndex,N_std,Re_std,Scheme_std,PressureSolver_std,Language_std,Implementation_std,ParallelModel_std,SuccessfulRepeats,RuntimeMean_s,RuntimeStd_s,RuntimeMin_s,RuntimeMedian_s,RuntimeMax_s
hybrid,1,32,100,upwind,unknown,python,unknown,hybrid_mpi_threaded,60,60.257722401613336,65.01480939467774,8.6850054264,28.2607372999,228.53770065310002
hybrid,2,32,100,central,unknown,python,unknown,hybrid_mpi_threaded,60,59.348419503376654,64.90933518359097,8.3624374866,27.3132878542,225.83707451819998
hybrid,3,32,400,upwind,unknown,python,unknown,hybrid_mpi_threaded,60,49.47209070523666,53.25900841632281,7.195836305599999,23.3885873556,183.0394511223
hybrid,4,32,400,central,unknown,python,unknown,hybrid_mpi_threaded,60,45.54394485950666,49.51074857101644,6.5233752728,21.1975744963,172.3602020741
hybrid,5,32,1000,upwind,unknown,python,unknown,hybrid_mpi_threaded,60,60.71088978449666,63.32507267783368,9.4725635052,29.7516559362,212.5781104565
hybrid,6,32,1000,central,unknown,python,unknown,hybrid_mpi_threaded,60,49.47944422959834,51.37530598768751,7.7941510677,24.492652058599997,172.4796230793
hybrid,7,64,100,upwind,unknown,python,unknown,hybrid_mpi_threaded,60,354.07469015519007,419.6374169061803,22.272998333,148.99166500569999,1373.7663052082
hybrid,8,64,100,central,unknown,python,unknown,hybrid_mpi_threaded,60,346.02079534132844,408.87396262658376,21.9581942558,143.51329874995,1314.7676780224
hybrid,9,64,400,upwind,unknown,python,unknown,hybrid_mpi_threaded,60,301.80220888852665,363.5060186704048,18.3329436779,126.54238867759999,1191.8201749325
hybrid,10,64,400,central,unknown,python,unknown,hybrid_mpi_threaded,60,300.1619374553366,361.2441941899983,18.1434648037,124.81457018855,1226.1656506062
hybrid,11,64,1000,upwind,unknown,python,unknown,hybrid_mpi_threaded,60,383.8303239583949,455.24440503297143,24.1777393818,162.23155951500001,1470.6138529778
hybrid,12,64,1000,central,unknown,python,unknown,hybrid_mpi_threaded,60,417.9330663919465,499.3737925573544,25.3270895481,171.57360816,1646.5490069389002
hybrid,13,128,100,upwind,unknown,python,unknown,hybrid_mpi_threaded,24,14267.315836757416,15340.969181961415,431.5638420582,9391.9149876833,42344.1348173618
hybrid,14,128,100,central,unknown,python,unknown,hybrid_mpi_threaded,60,2414.989561633268,2884.782418466627,94.86792993549999,1061.1150373220498,8766.884945154201
hybrid,15,128,400,upwind,unknown,python,unknown,hybrid_mpi_threaded,60,2753.95944734415,3298.688234557975,104.5461916924,1202.2490438222999,10020.72990942
hybrid,16,128,400,central,unknown,python,unknown,hybrid_mpi_threaded,60,2871.4936839501174,3423.71740266721,109.3539810181,1236.3863093853001,10359.0127036572
hybrid,17,128,1000,upwind,unknown,python,unknown,hybrid_mpi_threaded,60,3258.531112929186,3900.197500161154,122.87438797950001,1432.81481051445,11800.1100091934
hybrid,18,128,1000,central,unknown,python,unknown,hybrid_mpi_threaded,60,3722.5961299896185,4461.375461701865,139.8621816635,1608.93200480935,13877.2173445225
mpi,1,32,100,upwind,unknown,python,unknown,mpi_domain,60,43.42186296383669,52.8672928194096,7.9630050659,20.10816776755,229.477755785
mpi,2,32,100,central,unknown,python,unknown,mpi_domain,60,41.97270348469332,50.805161385217325,7.6891465187,19.500716805499998,217.6854786873
