SourceFamily,CaseFolder,timestamp_utc,host,solver_group,language,parallel_model,kernel_style,case_id,N,Re,scheme,pressure,steps,poisson_iters,mpi_ranks,threads_per_rank,total_cores,repeat,runtime_s,final_omega_change,final_psi_change,final_ru,final_rv,final_rc_mass,final_rc_div,max_velocity,source_summary,status,log_file,Runtime_s,PressureSolver_std,Language_std,Implementation_std,ParallelModel_std,N_std,Re_std,Scheme_std,CaseIndex
openmp,openmp_case_1,2026-07-02T13:56:19+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,1,1,1,1.1477924995,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.1477924995,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:21+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,2,2,1,1.5042844862,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.5042844862,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:24+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,4,4,1,2.1228982024,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,2.1228982024,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:28+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,8,8,1,3.6180044971,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,3.6180044971,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:37+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,16,16,1,7.9942260534,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,7.9942260534,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:38+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,1,1,1,0.9059580863,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.9059580863,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:40+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,2,2,1,1.3649170547999998,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.3649170547999998,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:43+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,4,4,1,2.0836160295,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,2.0836160295,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:48+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,8,8,1,3.6295816004000003,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,3.6295816004000003,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:56:56+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,16,16,1,7.1719051003,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,7.1719051003,unknown,c,unknown,openmp_domain,32,100,upwind,1
