SourceFamily,CaseFolder,CaseIndex,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,successful_repeats,Runtime_s_mean,Runtime_s_std,Runtime_s_min,Runtime_s_max
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,1.0,1,1.0,3.0,1.144075271,1.146292857,1.1470108,1.0,1.1470108,1.0,1.0,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.6742018237999999,0.6750669268,0.6753695719,1.0,0.6753695719,1.0,1.0,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.504284486,1.590225556,1.5123845,1.0,1.1470108,0.758412,0.379206,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.8528426103,0.8680330787999999,0.8545780033,1.0,0.6753695719,0.790296,0.395148,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,2.101522576,2.118302535,2.122898202,1.0,1.1470108,0.540304,0.135076,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,1.162200373,1.166220171,1.162614495,1.0,0.6753695719,0.580906,0.145226,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,8.0,1,8.0,3.0,3.409152005,3.577874201,3.618004497,1.0,1.1470108,0.317029,0.0396286,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,8.0,1,8.0,3.0,1.896988064,1.912413581,1.9101413530000002,1.0,0.6753695719,0.35357,0.0441963,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,16.0,1,16.0,3.0,7.145733982,7.5678072510000005,7.563461717000001,1.0,1.1470108,0.151652,0.00947822,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,16.0,1,16.0,3.0,3.968414821,4.782716677,4.25260324,1.0,0.6753695719,0.158813,0.00992583,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBGS,1000.0,200.0,1.0,1,1.0,3.0,0.9031774923,0.9056988582,0.9059580863,1.0,0.9059580863,1.0,1.0,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.5173513964,0.5196549383,0.5207439959000001,1.0,0.5207439959000001,1.0,1.0,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.364917055,1.3806062540000001,1.378000189,1.0,0.9059580863,0.6574439999999999,0.32872199999999996,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.7545270622,0.7692160581999999,0.7694740929,1.0,0.5207439959000001,0.6767529999999999,0.338377,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,2.037067812,2.075751101,2.083616029,1.0,0.9059580863,0.43480100000000005,0.1087,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,1.125358649,1.1408947,1.125896193,1.0,0.5207439959000001,0.46251499999999995,0.115629,,,,,
