case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBGS,1000,200,1,1,1,3,1100.305195,1156.019515,1174.435102,1,1174.435102,1,1
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBSOR,1000,200,1,1,1,3,663.0277185,668.3406129,670.6388023,1,670.6388023,1,1
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBGS,1000,200,2,1,2,3,1112.282345,1151.095729,1114.839192,1,1174.435102,1.05346,0.526728
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBSOR,1000,200,2,1,2,3,672.0363464,687.3148951,687.5407164,1,670.6388023,0.975417,0.487708
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBGS,1000,200,4,2,2,3,582.6953146,595.485999,597.97896,1,1174.435102,1.96401,0.491002
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBSOR,1000,200,4,2,2,3,370.3160136,376.2207567,378.3688104,1,670.6388023,1.77245,0.443112
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBGS,1000,200,8,4,2,3,304.2702715,312.3273033,314.5362728,1,1174.435102,3.73386,0.466733
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBSOR,1000,200,8,4,2,3,189.9199479,192.7749033,191.6949072,1,670.6388023,3.49847,0.437309
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBGS,1000,200,16,4,4,3,314.8208067,318.7758609,317.8643379,1,1174.435102,3.69477,0.230923
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,400,central,RBSOR,1000,200,16,4,4,3,188.7707138,189.8105054,188.9863868,1,670.6388023,3.54861,0.221788
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBGS,1000,200,1,1,1,3,60.22593379,60.29186964,60.26863861,1,60.26863861,1,1
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBSOR,1000,200,1,1,1,3,35.42922211,35.55169749,35.59191632,1,35.59191632,1,1
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBGS,1000,200,2,1,2,3,59.89509988,60.36748854,60.34893918,1,60.26863861,0.998669,0.499335
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBSOR,1000,200,2,1,2,3,35.26216006,35.52714205,35.64374805,1,35.59191632,0.998546,0.499273
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBGS,1000,200,4,2,2,3,40.39527249,40.88899255,41.09112883,1,60.26863861,1.46671,0.366677
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBSOR,1000,200,4,2,2,3,23.66239333,23.8825043,23.93686295,1,35.59191632,1.48691,0.371727
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBGS,1000,200,8,4,2,3,30.89850211,31.05388904,31.12367868,1,60.26863861,1.93642,0.242053
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBSOR,1000,200,8,4,2,3,18.1434648,18.25391618,18.27128959,1,35.59191632,1.94797,0.243496
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBGS,1000,200,16,4,4,3,30.85632372,31.02676741,31.0756495,1,60.26863861,1.93942,0.121214
case1_N64_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,400,central,RBSOR,1000,200,16,4,4,3,18.15167379,18.2284011,18.15351605,1,35.59191632,1.96061,0.122538
