case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBGS,1000,200,1,1,1,3,1151.879752,1168.852104,1175.263831,1,1175.263831,1,1
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBSOR,1000,200,1,1,1,3,677.3179917,695.4504749,681.7964165,1,681.7964165,1,1
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBGS,1000,200,2,2,1,3,592.3130865,599.1660844,597.7110646,1,1175.263831,1.96627,0.983137
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBSOR,1000,200,2,2,1,3,349.3481233,361.582828,359.8677325,1,681.7964165,1.89458,0.947288
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBGS,1000,200,4,4,1,3,307.0138745,317.3692071,314.1363182,1,1175.263831,3.74125,0.935314
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBSOR,1000,200,4,4,1,3,189.3454227,192.7496828,193.953352,1,681.7964165,3.51526,0.878815
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBGS,1000,200,8,8,1,3,169.5191326,171.3937755,171.0828369,1,1175.263831,6.86956,0.858695
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBSOR,1000,200,8,8,1,3,102.2828767,103.2242463,103.0650151,1,681.7964165,6.61521,0.826901
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBGS,1000,200,16,16,1,3,95.92776966,96.71310163,96.23410344,1,1175.263831,12.2126,0.763284
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,64,400,central,RBSOR,1000,200,16,16,1,3,56.86902428,57.12651626,57.06308436,1,681.7964165,11.9481,0.746757
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBGS,1000,200,1,1,1,3,60.33443689,60.51054915,60.33484101,1,60.33484101,1,1
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBSOR,1000,200,1,1,1,3,35.37094665,35.41802065,35.38250089,1,35.38250089,1,1
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBGS,1000,200,2,2,1,3,40.57051969,40.68740416,40.68966079,1,60.33484101,1.48281,0.741403
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBSOR,1000,200,2,2,1,3,23.7276001,23.8616817,23.89125705,1,35.38250089,1.48098,0.740491
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBGS,1000,200,4,4,1,3,31.05640483,31.07235233,31.06906796,1,60.33484101,1.94196,0.48549
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBSOR,1000,200,4,4,1,3,18.24495673,18.29280313,18.29345131,1,35.38250089,1.93416,0.483541
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBGS,1000,200,8,8,1,3,25.65765381,25.75642554,25.76529837,1,60.33484101,2.34171,0.292714
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBSOR,1000,200,8,8,1,3,15.08499956,15.1516459,15.1693542,1,35.38250089,2.3325,0.291562
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBGS,1000,200,16,16,1,3,23.42143726,23.44862866,23.45391726,1,60.33484101,2.57248,0.16078
case1_N64_Re400_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,64,400,central,RBSOR,1000,200,16,16,1,3,13.8048985,13.81214348,13.80937934,1,35.38250089,2.56221,0.160138
