case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,1,1,1,3,23.40269169,23.41749931,23.41471653,1,23.41471653,1,1
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,1,1,1,3,17.5230424,17.5443102,17.53902633,1,17.53902633,1,1
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,2,1,2,3,13.38287451,13.55591222,13.39332614,1,23.41471653,1.74824,0.874119
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,2,1,2,3,10.03696708,10.26569193,10.37272944,1,17.53902633,1.69088,0.845439
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,4,1,4,3,8.734451514,8.755430316,8.754313931,1,23.41471653,2.67465,0.668662
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,4,1,4,3,6.48055372,6.506884504,6.513268918,1,17.53902633,2.69281,0.673204
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,8,1,8,3,8.057069495,8.402147756,8.42947742,1,23.41471653,2.77772,0.347215
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,8,1,8,3,6.014535211,6.189345392,6.07217636,1,17.53902633,2.88843,0.361053
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,16,1,16,3,11.97731806,12.79816248,12.77779991,1,23.41471653,1.83245,0.114528
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_looped,c,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,16,1,16,3,8.591198035,9.018861927,8.746914145,1,17.53902633,2.00517,0.125323
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,1,1,1,3,17.53822444,17.55775678,17.54550866,1,17.54550866,1,1
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,1,1,1,3,12.99794057,13.00398382,13.00019801,1,13.00019801,1,1
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,2,1,2,3,10.51490669,10.71653173,10.57910142,1,17.54550866,1.65851,0.829253
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,2,1,2,3,7.835734103,7.958079729,7.836683136,1,13.00019801,1.65889,0.829445
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,4,1,4,3,7.149232104,7.458749623,7.541792002,1,17.54550866,2.32644,0.581609
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,4,1,4,3,5.323235471,5.446186108,5.504435744,1,13.00019801,2.36177,0.590442
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,8,1,8,3,7.290193312,7.818616303,8.045247819,1,17.54550866,2.18085,0.272607
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,8,1,8,3,5.643741369,5.744360031,5.661919661,1,13.00019801,2.29608,0.28701
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,16,1,16,3,12.37842521,12.64697098,12.66494123,1,17.54550866,1.38536,0.086585
case1_N128_Re1000_upwind_steps4000_p300,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,16,1,16,3,8.517169438,9.401818324,9.210641131,1,13.00019801,1.41143,0.0882145
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,1,1,1,3,23.55125744,23.59388419,23.59325631,1,23.59325631,1,1
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,1,1,1,3,17.637271,17.69937709,17.7264822,1,17.7264822,1,1
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,2,1,2,3,13.42406239,13.4525736,13.45956049,1,23.59325631,1.7529,0.87645
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,2,1,2,3,10.06940221,10.07754726,10.078093,1,17.7264822,1.75891,0.879456
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,4,1,4,3,8.702440523,8.773949643,8.765851528,1,23.59325631,2.6915,0.672874
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,4,1,4,3,6.618912615,6.648551608,6.648206521,1,17.7264822,2.66636,0.666589
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,8,1,8,3,8.486880444,8.577598318,8.60579212,1,23.59325631,2.74156,0.342694
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,8,1,8,3,6.048180636,6.300935431,6.385841258,1,17.7264822,2.7759,0.346988
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBGS,4000,300,16,1,16,3,12.67403341,12.86170641,12.75875947,1,23.59325631,1.84918,0.115574
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,1000,upwind,RBSOR,4000,300,16,1,16,3,8.375791453,9.69936353,9.39957314,1,17.7264822,1.88588,0.117868
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,1,1,1,3,17.40829666,17.41682998,17.41957996,1,17.41957996,1,1
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,1,1,1,3,12.89108848,12.90477152,12.90278567,1,12.90278567,1,1
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,2,1,2,3,10.45216264,10.66208572,10.62087161,1,17.41957996,1.64013,0.820064
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,2,1,2,3,7.738390341,7.777632878,7.770076692,1,12.90278567,1.66057,0.830287
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,4,1,4,3,7.349077422,7.404106465,7.422452953,1,17.41957996,2.34688,0.586719
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,4,1,4,3,5.294038575,5.374897802,5.310895611,1,12.90278567,2.42949,0.607373
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,8,1,8,3,7.535579611,7.699156749,7.770979948,1,17.41957996,2.24162,0.280202
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,8,1,8,3,5.722620577,5.758060941,5.731148694,1,12.90278567,2.25134,0.281418
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBGS,4000,300,16,1,16,3,11.02483461,12.41053212,11.04922111,1,17.41957996,1.57654,0.098534
case1_N128_Re1000_upwind_steps4000_p300,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,1000,upwind,RBSOR,4000,300,16,1,16,3,8.062370569,8.957619327,8.078803413,1,12.90278567,1.59712,0.0998197
