SourceFamily,CaseFolder,CaseIndex,RawExists,SummaryExists,BestExists,ReportExists,RawRows,SuccessRows,FailedRows,OtherStatusRows,PartialOrSalvaged
openmp,openmp_case_1,1,True,True,True,True,120,120,0,0,False
openmp,openmp_case_2,2,True,True,True,True,120,120,0,0,False
openmp,openmp_case_3,3,True,True,True,True,120,120,0,0,False
openmp,openmp_case_4,4,True,True,True,True,120,120,0,0,False
openmp,openmp_case_5,5,True,True,True,True,120,120,0,0,False
openmp,openmp_case_6,6,True,True,True,True,120,120,0,0,False
openmp,openmp_case_7,7,True,True,True,True,120,120,0,0,False
openmp,openmp_case_8,8,True,True,True,True,120,120,0,0,False
openmp,openmp_case_9,9,True,True,True,True,120,120,0,0,False
openmp,openmp_case_10,10,True,True,True,True,120,120,0,0,False
openmp,openmp_case_11,11,True,True,True,True,120,120,0,0,False
openmp,openmp_case_12,12,True,True,True,True,120,120,0,0,False
openmp,openmp_case_13,13,True,True,True,True,120,120,0,0,False
openmp,openmp_case_14,14,True,True,True,True,120,120,0,0,False
openmp,openmp_case_15,15,True,True,True,True,120,120,0,0,False
openmp,openmp_case_16,16,True,True,True,True,120,120,0,0,False
openmp,openmp_case_17,17,True,True,True,True,120,120,0,0,False
openmp,openmp_case_18,18,True,True,True,True,120,120,0,0,False
mpi,mpi_case_1,1,True,True,True,True,180,60,120,0,False
mpi,mpi_case_2,2,True,True,True,True,180,60,120,0,False
mpi,mpi_case_3,3,True,True,True,True,180,60,120,0,False
mpi,mpi_case_4,4,True,True,True,True,180,60,120,0,False
mpi,mpi_case_5,5,True,True,True,True,180,60,120,0,False
mpi,mpi_case_6,6,True,True,True,True,180,60,120,0,False
mpi,mpi_case_7,7,True,True,True,True,180,60,120,0,False
mpi,mpi_case_8,8,True,True,True,True,180,60,120,0,False
mpi,mpi_case_9,9,True,True,True,True,180,60,120,0,False
mpi,mpi_case_10,10,True,True,True,True,180,60,120,0,False
mpi,mpi_case_11,11,True,True,True,True,180,60,120,0,False
mpi,mpi_case_12,12,True,True,True,True,180,60,120,0,False
mpi,mpi_case_13,13,True,True,True,True,141,41,100,0,True
mpi,mpi_case_14,14,True,True,True,True,180,60,120,0,False
mpi,mpi_case_15,15,True,True,True,True,180,60,120,0,False
mpi,mpi_case_16,16,True,True,True,True,180,60,120,0,False
mpi,mpi_case_17,17,True,True,True,True,180,60,120,0,False
mpi,mpi_case_18,18,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_1,1,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_2,2,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_3,3,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_4,4,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_5,5,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_6,6,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_7,7,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_8,8,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_9,9,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_10,10,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_11,11,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_12,12,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_13,13,True,True,True,True,84,24,60,0,True
hybrid,hybrid_case_14,14,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_15,15,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_16,16,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_17,17,True,True,True,True,180,60,120,0,False
hybrid,hybrid_case_18,18,True,True,True,True,180,60,120,0,False
