SourceFamily,CudaRunType,CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit,FieldCSV
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,64,100,upwind,JACOBI,maxIter,gpu_benchmark,1000,1000,,,,,1.44797180176,200,,0,1,0,0.05958449569237135,0.0573465601634477,0.12406505655918615,0.11497165956022408,0.03,0.03,saved_runs/cuda_domain_matched_A100_21158254/N64_Re100_upwind_JACOBI_steps1000_poisson200/case_001_N64_Re100_upwind_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,64,100,upwind,JACOBI,maxIter,gpu_benchmark,1000,1000,,,,,1.44797180176,200,,0,1,1,0.009717112787109823,0.0063860785575118525,0.02294276101502112,0.0136197359270335,0.03,0.03,saved_runs/cuda_domain_matched_A100_21158254/N64_Re100_upwind_JACOBI_steps4000_poisson300/case_001_N64_Re100_upwind_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,128,1000,upwind,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,8.911055664060001,300,,0,1,0,0.18498090714106533,0.2603882483412113,0.3464391339706476,0.4292243678172324,0.16,0.18,saved_runs/cuda_domain_matched_A100_21158254/N128_Re1000_upwind_JACOBI_steps4000_poisson300/case_001_N128_Re1000_upwind_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,32,100,upwind,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,7.98175048828,300,,0,1,1,0.01882031753885328,0.024223675933365208,0.033368226072387486,0.052188007827579715,0.03,0.03,saved_runs/cuda_domain_matched_A100_21158254/N32_Re100_upwind_JACOBI_steps4000_poisson300/case_001_N32_Re100_upwind_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,32,100,central,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,7.75653271484,300,,0,1,1,0.016943636692588342,0.02341677581592505,0.031064517279424688,0.0414142994693634,0.03,0.03,saved_runs/cuda_domain_matched_A100_21158254/N32_Re100_central_JACOBI_steps4000_poisson300/case_001_N32_Re100_central_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,32,400,upwind,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,7.77926953125,300,,0,1,0,0.12374821498197255,0.17437243564007335,0.2604927018361344,0.3278776040101134,0.09,0.12,saved_runs/cuda_domain_matched_A100_21158254/N32_Re400_upwind_JACOBI_steps4000_poisson300/case_001_N32_Re400_upwind_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,32,400,central,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,8.02259960937,300,,0,1,0,0.15011204794875954,0.206376583342464,0.28871457866148376,0.3965426578531557,0.09,0.12,saved_runs/cuda_domain_matched_A100_21158254/N32_Re400_central_JACOBI_steps4000_poisson300/case_001_N32_Re400_central_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,32,1000,upwind,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,7.59681103516,300,,0,1,0,0.1920239549574409,0.28602765208065073,0.3605046591917369,0.4840064063723769,0.16,0.18,saved_runs/cuda_domain_matched_A100_21158254/N32_Re1000_upwind_JACOBI_steps4000_poisson300/case_001_N32_Re1000_upwind_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,32,1000,central,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,7.70485644531,300,,0,1,0,0.22640321977511546,0.3006876206360002,0.3756370326816109,0.5057287539579662,0.16,0.18,saved_runs/cuda_domain_matched_A100_21158254/N32_Re1000_central_JACOBI_steps4000_poisson300/case_001_N32_Re1000_central_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,64,100,upwind,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,8.37308203125,300,,0,1,0,0.05958449569237135,0.0573465601634477,0.12406505655918615,0.11497165956022408,0.03,0.03,saved_runs/cuda_domain_matched_A100_21158254/N64_Re100_upwind_JACOBI_steps1000_poisson200/case_001_N64_Re100_upwind_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,64,100,upwind,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,8.37308203125,300,,0,1,1,0.009717112787109823,0.0063860785575118525,0.02294276101502112,0.0136197359270335,0.03,0.03,saved_runs/cuda_domain_matched_A100_21158254/N64_Re100_upwind_JACOBI_steps4000_poisson300/case_001_N64_Re100_upwind_JACOBI_cuda_projection_jacobi_fields.csv
cuda_a100,old_domain_matched_jacobi,1,cuda_projection_jacobi,64,100,central,JACOBI,maxIter,gpu_benchmark,4000,4000,,,,,8.35885253906,300,,0,1,1,0.0069887032842563855,0.005452339224411791,0.013897386265435262,0.008978567188670517,0.03,0.03,saved_runs/cuda_domain_matched_A100_21158254/N64_Re100_central_JACOBI_steps4000_poisson300/case_001_N64_Re100_central_JACOBI_cuda_projection_jacobi_fields.csv
