family,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,128,400,central,RBSOR,2500,250,1,1,1,3,7606.299864,7788.600364,7613.105655,1,7613.105655,1.0,1.0
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,128,400,central,RBSOR,2500,250,2,1,2,3,7566.475694,7787.014286,7875.927662,1,7613.105655,0.96663,0.483315
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,128,400,central,RBSOR,2500,250,4,2,2,3,4068.051735,4074.93574,4077.990789,1,7613.105655,1.86688,0.466719
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,128,400,central,RBSOR,2500,250,8,4,2,3,2095.063249,2118.815506,2111.847609,1,7613.105655,3.60495,0.450619
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,128,400,central,RBSOR,2500,250,16,4,4,3,2034.263709,2064.698518,2060.259956,1,7613.105655,3.69522,0.230951
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,128,400,central,RBSOR,2500,250,1,1,1,3,326.8058889,328.5999885,328.4230862,1,328.4230862,1.0,1.0
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,128,400,central,RBSOR,2500,250,2,1,2,3,333.5659556,334.0135961,333.841871,1,328.4230862,0.983768,0.491884
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,128,400,central,RBSOR,2500,250,4,2,2,3,184.3646066,184.934024,184.9720488,1,328.4230862,1.77553,0.443882
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,128,400,central,RBSOR,2500,250,8,4,2,3,109.353981,109.5944813,109.3638096,1,328.4230862,3.00303,0.375379
hybrid,case1_N128_Re400_central_steps2500_p250,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,128,400,central,RBSOR,2500,250,16,4,4,3,109.4568446,110.0619116,110.188024,1,328.4230862,2.98057,0.186286
